source,target,type
430,239,same_director
430,284,same_director
430,599,same_director
430,996,same_director
435,602,same_director
435,929,same_director
441,292,same_director
441,300,same_director
453,568,same_director
453,591,same_director
453,847,same_director
453,921,same_director
454,824,same_director
462,161,same_director
462,163,same_director
462,182,same_director
462,298,same_director
466,891,same_director
468,476,same_director
468,489,same_director
468,577,same_director
468,711,same_director
473,641,same_director
476,468,same_director
476,489,same_director
476,577,same_director
476,711,same_director
479,584,same_director
479,650,same_director
482,493,same_director
483,404,same_director
483,638,same_director
483,793,same_director
483,841,same_director
483,985,same_director
488,963,same_director
489,468,same_director
489,476,same_director
489,577,same_director
489,711,same_director
493,482,same_director
497,278,same_director
500,184,same_director
500,393,same_director
500,680,same_director
503,387,same_director
503,652,same_director
505,150,same_director
506,213,same_director
506,223,same_director
506,303,same_director
506,381,same_director
506,426,same_director
506,521,same_director
506,539,same_director
506,567,same_director
506,571,same_director
506,573,same_director
506,574,same_director
506,845,same_director
510,279,same_director
512,116,same_director
512,696,same_director
512,703,same_director
521,213,same_director
521,223,same_director
521,303,same_director
521,381,same_director
521,426,same_director
521,506,same_director
521,539,same_director
521,567,same_director
521,571,same_director
521,573,same_director
521,574,same_director
521,845,same_director
522,118,same_director
522,162,same_director
522,268,same_director
522,364,same_director
522,587,same_director
522,869,same_director
524,103,same_director
524,203,same_director
524,262,same_director
524,769,same_director
525,306,same_director
525,814,same_director
526,794,same_director
526,941,same_director
526,942,same_director
526,943,same_director
526,944,same_director
539,213,same_director
539,223,same_director
539,303,same_director
539,381,same_director
539,426,same_director
539,506,same_director
539,521,same_director
539,567,same_director
539,571,same_director
539,573,same_director
539,574,same_director
539,845,same_director
547,293,same_director
550,807,same_director
553,145,same_director
557,558,same_director
557,559,same_director
557,764,same_director
557,765,same_director
557,766,same_director
558,557,same_director
558,559,same_director
558,764,same_director
558,765,same_director
558,766,same_director
559,557,same_director
559,558,same_director
559,764,same_director
559,765,same_director
559,766,same_director
562,106,same_director
562,913,same_director
