source,target,type
118,377,same_cast
118,392,same_cast
118,421,same_cast
118,508,same_cast
118,509,same_cast
118,512,same_cast
118,522,same_cast
118,533,same_cast
118,534,same_cast
118,550,same_cast
118,587,same_cast
118,591,same_cast
118,622,same_cast
118,671,same_cast
118,672,same_cast
118,675,same_cast
118,682,same_cast
118,691,same_cast
118,767,same_cast
118,768,same_cast
118,786,same_cast
118,792,same_cast
118,866,same_cast
118,869,same_cast
118,922,same_cast
118,926,same_cast
118,928,same_cast
118,954,same_cast
120,118,same_cast
120,121,same_cast
120,122,same_cast
120,165,same_cast
120,182,same_cast
120,187,same_cast
120,189,same_cast
120,217,same_cast
120,249,same_cast
120,254,same_cast
120,285,same_cast
120,340,same_cast
120,345,same_cast
120,348,same_cast
120,401,same_cast
120,411,same_cast
120,421,same_cast
120,435,same_cast
120,527,same_cast
120,588,same_cast
120,591,same_cast
120,603,same_cast
120,604,same_cast
120,605,same_cast
120,652,same_cast
120,682,same_cast
120,708,same_cast
120,710,same_cast
120,713,same_cast
120,752,same_cast
120,768,same_cast
120,855,same_cast
120,883,same_cast
120,928,same_cast
121,118,same_cast
121,120,same_cast
121,122,same_cast
121,165,same_cast
121,182,same_cast
121,187,same_cast
121,217,same_cast
121,249,same_cast
121,254,same_cast
121,285,same_cast
121,340,same_cast
121,345,same_cast
121,411,same_cast
121,421,same_cast
121,441,same_cast
121,510,same_cast
121,527,same_cast
121,588,same_cast
121,591,same_cast
121,597,same_cast
121,603,same_cast
121,604,same_cast
121,605,same_cast
121,652,same_cast
121,682,same_cast
121,708,same_cast
121,710,same_cast
121,713,same_cast
121,752,same_cast
121,783,same_cast
121,793,same_cast
121,824,same_cast
121,841,same_cast
121,855,same_cast
121,883,same_cast
121,928,same_cast
122,118,same_cast
122,120,same_cast
122,121,same_cast
122,165,same_cast
122,182,same_cast
122,187,same_cast
122,189,same_cast
122,217,same_cast
122,249,same_cast
122,254,same_cast
122,285,same_cast
122,340,same_cast
122,345,same_cast
122,348,same_cast
122,401,same_cast
122,411,same_cast
122,421,same_cast
122,435,same_cast
122,441,same_cast
122,510,same_cast
122,527,same_cast
122,588,same_cast
122,591,same_cast
122,597,same_cast
122,603,same_cast
122,604,same_cast
122,605,same_cast
122,652,same_cast
122,682,same_cast
122,708,same_cast
122,710,same_cast
122,713,same_cast
122,752,same_cast
122,768,same_cast
122,783,same_cast
122,793,same_cast
122,824,same_cast
122,841,same_cast
122,855,same_cast
122,883,same_cast
122,889,same_cast
122,928,same_cast
122,967,same_cast
123,185,same_cast
123,217,same_cast
123,229,same_cast
123,280,same_cast
123,288,same_cast
123,348,same_cast
123,553,same_cast
123,630,same_cast
123,660,same_cast
123,665,same_cast
123,671,same_cast
123,686,same_cast
123,694,same_cast
123,752,same_cast
123,783,same_cast
123,826,same_cast
123,847,same_cast
123,856,same_cast
123,871,same_cast
123,874,same_cast
123,922,same_cast
123,941,same_cast
123,943,same_cast
123,957,same_cast
123,967,same_cast
134,101,same_cast
134,111,same_cast
134,115,same_cast
134,141,same_cast
134,161,same_cast
134,163,same_cast
134,167,same_cast
134,180,same_cast
134,182,same_cast
134,231,same_cast
134,251,same_cast
134,274,same_cast
134,290,same_cast
134,298,same_cast
134,378,same_cast
134,379,same_cast
134,380,same_cast
134,402,same_cast
134,403,same_cast
134,415,same_cast
134,425,same_cast
134,479,same_cast
134,483,same_cast
134,549,same_cast
134,568,same_cast
134,585,same_cast
134,693,same_cast
134,713,same_cast
134,755,same_cast
134,858,same_cast
134,888,same_cast
134,920,same_cast
134,925,same_cast
134,929,same_cast
134,950,same_cast
134,957,same_cast
134,968,same_cast
137,153,same_cast
137,241,same_cast
137,308,same_cast
137,380,same_cast
137,402,same_cast
137,421,same_cast
137,492,same_cast
137,522,same_cast
137,544,same_cast
137,562,same_cast
137,617,same_cast
137,620,same_cast
137,676,same_cast
137,695,same_cast
137,712,same_cast
137,771,same_cast
137,788,same_cast
137,820,same_cast
137,829,same_cast
137,847,same_cast
137,883,same_cast
137,928,same_cast
137,929,same_cast
137,957,same_cast
137,984,same_cast
141,105,same_cast
141,134,same_cast
141,142,same_cast
141,155,same_cast
141,183,same_cast
141,227,same_cast
141,251,same_cast
141,330,same_cast
141,380,same_cast
141,414,same_cast
141,435,same_cast
141,462,same_cast
141,497,same_cast
141,565,same_cast
141,581,same_cast
141,601,same_cast
141,602,same_cast
141,642,same_cast
141,644,same_cast
141,676,same_cast
141,686,same_cast
141,688,same_cast
141,773,same_cast
141,810,same_cast
141,881,same_cast
141,889,same_cast
141,929,same_cast
142,141,same_cast
142,153,same_cast
142,155,same_cast
142,350,same_cast
142,435,same_cast
142,451,same_cast
142,479,same_cast
142,558,same_cast
142,602,same_cast
142,676,same_cast
142,687,same_cast
142,819,same_cast
143,198,same_cast
143,229,same_cast
143,288,same_cast
143,770,same_cast
143,914,same_cast
143,967,same_cast
144,248,same_cast
144,289,same_cast
144,387,same_cast
144,821,same_cast
144,853,same_cast
145,285,same_cast
145,468,same_cast
145,489,same_cast
145,553,same_cast
145,671,same_cast
145,673,same_cast
145,674,same_cast
145,675,same_cast
145,768,same_cast
150,106,same_cast
150,152,same_cast
150,167,same_cast
150,178,same_cast
150,183,same_cast
150,184,same_cast
150,205,same_cast
150,233,same_cast
150,294,same_cast
150,306,same_cast
150,380,same_cast
150,476,same_cast
150,483,same_cast
150,494,same_cast
150,505,same_cast
150,522,same_cast
150,535,same_cast
150,562,same_cast
150,584,same_cast
150,609,same_cast
150,688,same_cast
150,703,same_cast
150,709,same_cast
150,754,same_cast
150,790,same_cast
150,808,same_cast
150,809,same_cast
150,810,same_cast
150,813,same_cast
150,840,same_cast
150,927,same_cast
150,941,same_cast
150,949,same_cast
152,111,same_cast
152,150,same_cast
152,154,same_cast
152,157,same_cast
152,168,same_cast
152,172,same_cast
152,174,same_cast
152,193,same_cast
152,239,same_cast
152,248,same_cast
152,280,same_cast
152,579,same_cast
152,703,same_cast
152,821,same_cast
152,861,same_cast
152,865,same_cast
152,891,same_cast
152,910,same_cast
152,918,same_cast
153,116,same_cast
153,137,same_cast
153,142,same_cast
153,308,same_cast
153,421,same_cast
153,512,same_cast
153,522,same_cast
153,547,same_cast
153,617,same_cast
153,620,same_cast
153,638,same_cast
153,857,same_cast
153,883,same_cast
154,152,same_cast
154,157,same_cast
154,168,same_cast
154,172,same_cast
154,174,same_cast
154,193,same_cast
154,218,same_cast
154,821,same_cast
155,101,same_cast
155,107,same_cast
155,117,same_cast
155,118,same_cast
155,141,same_cast
155,142,same_cast
155,162,same_cast
155,170,same_cast
155,184,same_cast
155,186,same_cast
155,187,same_cast
155,243,same_cast
155,268,same_cast
155,272,same_cast
155,278,same_cast
155,281,same_cast
155,310,same_cast
155,319,same_cast
155,320,same_cast
155,350,same_cast
155,403,same_cast
155,414,same_cast
155,415,same_cast
155,462,same_cast
155,479,same_cast
155,505,same_cast
155,534,same_cast
155,549,same_cast
155,578,same_cast
155,580,same_cast
155,673,same_cast
155,674,same_cast
155,675,same_cast
155,676,same_cast
155,679,same_cast
155,686,same_cast
155,752,same_cast
155,787,same_cast
155,807,same_cast
155,818,same_cast
155,820,same_cast
155,855,same_cast
155,913,same_cast
155,927,same_cast
155,949,same_cast
155,993,same_cast
157,105,same_cast
157,152,same_cast
157,154,same_cast
157,165,same_cast
157,168,same_cast
157,172,same_cast
157,174,same_cast
157,189,same_cast
157,193,same_cast
157,196,same_cast
157,223,same_cast
157,261,same_cast
157,364,same_cast
157,510,same_cast
157,586,same_cast
157,602,same_cast
157,609,same_cast
157,703,same_cast
157,709,same_cast
157,808,same_cast
157,812,same_cast
157,820,same_cast
157,821,same_cast
157,856,same_cast
157,863,same_cast
157,918,same_cast
157,927,same_cast
157,928,same_cast
157,929,same_cast
161,107,same_cast
161,114,same_cast
161,117,same_cast
161,134,same_cast
161,163,same_cast
161,169,same_cast
161,182,same_cast
161,205,same_cast
