source,target,type
134,506,same_production
134,508,same_production
134,509,same_production
134,522,same_production
134,524,same_production
134,525,same_production
134,547,same_production
134,563,same_production
134,564,same_production
134,568,same_production
134,573,same_production
134,578,same_production
134,579,same_production
134,580,same_production
134,584,same_production
134,601,same_production
134,606,same_production
134,612,same_production
134,634,same_production
134,664,same_production
134,676,same_production
134,687,same_production
134,693,same_production
134,712,same_production
134,747,same_production
134,754,same_production
134,766,same_production
134,801,same_production
134,814,same_production
134,831,same_production
134,837,same_production
134,838,same_production
134,856,same_production
134,889,same_production
134,921,same_production
134,924,same_production
134,925,same_production
134,951,same_production
137,103,same_production
137,107,same_production
137,235,same_production
137,293,same_production
137,296,same_production
137,387,same_production
137,534,same_production
137,577,same_production
137,587,same_production
137,607,same_production
137,608,same_production
137,617,same_production
137,620,same_production
137,624,same_production
137,650,same_production
137,654,same_production
137,746,same_production
137,782,same_production
137,783,same_production
137,786,same_production
137,791,same_production
137,796,same_production
137,826,same_production
137,840,same_production
137,849,same_production
137,874,same_production
137,935,same_production
137,988,same_production
142,153,same_production
142,308,same_production
142,441,same_production
142,470,same_production
142,588,same_production
143,105,same_production
143,111,same_production
143,134,same_production
143,165,same_production
143,179,same_production
143,183,same_production
143,196,same_production
143,229,same_production
143,232,same_production
143,245,same_production
143,254,same_production
143,281,same_production
143,297,same_production
143,310,same_production
143,329,same_production
143,330,same_production
143,331,same_production
143,388,same_production
143,424,same_production
143,453,same_production
143,506,same_production
143,508,same_production
143,509,same_production
143,524,same_production
143,525,same_production
143,564,same_production
143,568,same_production
143,573,same_production
143,578,same_production
143,579,same_production
143,580,same_production
143,584,same_production
143,601,same_production
143,606,same_production
143,612,same_production
143,664,same_production
143,693,same_production
143,766,same_production
143,814,same_production
143,831,same_production
143,837,same_production
143,838,same_production
143,889,same_production
143,921,same_production
143,924,same_production
143,925,same_production
143,951,same_production
144,104,same_production
144,387,same_production
144,455,same_production
144,655,same_production
150,117,same_production
150,152,same_production
150,154,same_production
150,157,same_production
150,164,same_production
150,168,same_production
150,172,same_production
150,174,same_production
150,193,same_production
150,199,same_production
150,200,same_production
150,201,same_production
150,217,same_production
150,238,same_production
150,240,same_production
150,242,same_production
150,251,same_production
150,306,same_production
150,335,same_production
150,381,same_production
150,426,same_production
150,479,same_production
150,535,same_production
150,567,same_production
150,574,same_production
150,590,same_production
150,592,same_production
150,597,same_production
150,599,same_production
150,621,same_production
150,744,same_production
150,754,same_production
150,804,same_production
150,813,same_production
150,829,same_production
150,848,same_production
150,853,same_production
150,857,same_production
150,867,same_production
150,954,same_production
150,955,same_production
150,956,same_production
150,996,same_production
152,117,same_production
152,150,same_production
152,154,same_production
152,157,same_production
152,164,same_production
152,168,same_production
152,172,same_production
152,174,same_production
152,193,same_production
152,199,same_production
152,200,same_production
152,201,same_production
152,217,same_production
152,238,same_production
152,240,same_production
152,242,same_production
152,251,same_production
152,306,same_production
152,335,same_production
152,381,same_production
152,426,same_production
152,479,same_production
152,535,same_production
152,567,same_production
152,574,same_production
152,590,same_production
152,592,same_production
152,597,same_production
152,599,same_production
152,621,same_production
152,744,same_production
152,754,same_production
152,804,same_production
152,813,same_production
152,829,same_production
152,848,same_production
152,853,same_production
152,857,same_production
152,867,same_production
152,954,same_production
152,955,same_production
152,956,same_production
152,996,same_production
153,142,same_production
153,227,same_production
153,232,same_production
153,242,same_production
153,308,same_production
153,470,same_production
153,588,same_production
153,636,same_production
153,838,same_production
154,117,same_production
154,150,same_production
154,152,same_production
154,157,same_production
154,164,same_production
154,168,same_production
154,172,same_production
154,174,same_production
154,193,same_production
154,199,same_production
154,200,same_production
154,201,same_production
154,217,same_production
154,238,same_production
154,240,same_production
154,242,same_production
154,251,same_production
154,306,same_production
154,335,same_production
154,381,same_production
154,426,same_production
154,479,same_production
154,535,same_production
154,567,same_production
154,574,same_production
154,590,same_production
154,592,same_production
154,597,same_production
154,599,same_production
154,621,same_production
154,744,same_production
154,754,same_production
154,804,same_production
154,813,same_production
154,829,same_production
154,848,same_production
154,853,same_production
154,857,same_production
154,867,same_production
154,954,same_production
154,955,same_production
154,956,same_production
154,996,same_production
155,161,same_production
155,163,same_production
155,182,same_production
155,185,same_production
155,203,same_production
155,227,same_production
155,231,same_production
155,241,same_production
155,268,same_production
155,272,same_production
155,289,same_production
155,296,same_production
155,298,same_production
155,299,same_production
155,301,same_production
155,311,same_production
155,314,same_production
155,320,same_production
155,322,same_production
155,345,same_production
155,364,same_production
155,396,same_production
155,403,same_production
155,414,same_production
155,415,same_production
155,466,same_production
155,475,same_production
155,497,same_production
155,521,same_production
155,526,same_production
155,534,same_production
155,561,same_production
155,600,same_production
155,603,same_production
155,616,same_production
155,619,same_production
155,636,same_production
155,644,same_production
155,652,same_production
155,664,same_production
155,671,same_production
155,672,same_production
155,673,same_production
155,674,same_production
155,675,same_production
155,686,same_production
155,688,same_production
155,694,same_production
155,702,same_production
155,752,same_production
155,767,same_production
155,795,same_production
155,819,same_production
155,820,same_production
155,845,same_production
155,859,same_production
155,873,same_production
155,903,same_production
155,910,same_production
155,927,same_production
155,928,same_production
155,939,same_production
155,941,same_production
155,942,same_production
155,943,same_production
155,944,same_production
155,949,same_production
155,963,same_production
155,968,same_production
155,984,same_production
157,117,same_production
157,150,same_production
157,152,same_production
157,154,same_production
157,164,same_production
157,168,same_production
157,172,same_production
157,174,same_production
157,193,same_production
157,199,same_production
157,200,same_production
157,201,same_production
157,217,same_production
157,238,same_production
157,240,same_production
157,242,same_production
157,251,same_production
157,306,same_production
157,335,same_production
157,381,same_production
157,426,same_production
157,479,same_production
157,535,same_production
157,567,same_production
157,574,same_production
157,590,same_production
157,592,same_production
157,597,same_production
157,599,same_production
157,621,same_production
157,744,same_production
157,754,same_production
157,804,same_production
157,813,same_production
157,829,same_production
157,848,same_production
157,853,same_production
157,857,same_production
157,867,same_production
157,954,same_production
157,955,same_production
157,956,same_production
157,996,same_production
161,155,same_production
161,163,same_production
161,182,same_production
161,185,same_production
161,203,same_production
161,227,same_production
161,231,same_production
161,241,same_production
161,268,same_production
161,272,same_production
161,289,same_production
161,296,same_production
161,298,same_production
161,299,same_production
161,301,same_production
161,311,same_production
161,314,same_production
161,320,same_production
161,322,same_production
161,345,same_production
161,364,same_production
161,396,same_production
161,403,same_production
161,414,same_production
161,415,same_production
161,466,same_production
161,475,same_production
161,497,same_production
161,521,same_production
161,526,same_production
161,534,same_production
161,561,same_production
161,600,same_production
161,603,same_production
161,604,same_production
161,605,same_production
161,616,same_production
161,619,same_production
161,636,same_production
161,644,same_production
161,652,same_production
161,664,same_production
161,671,same_production
161,672,same_production
161,673,same_production
161,674,same_production
161,675,same_production
161,686,same_production
161,688,same_production
161,694,same_production
161,702,same_production
161,752,same_production
161,767,same_production
161,795,same_production
161,819,same_production
161,820,same_production
161,845,same_production
161,859,same_production
161,873,same_production
161,903,same_production
161,910,same_production
161,927,same_production
161,928,same_production
161,939,same_production
161,941,same_production
161,942,same_production
161,943,same_production
161,944,same_production
161,949,same_production
161,963,same_production
161,968,same_production
161,984,same_production
162,106,same_production
162,169,same_production
162,180,same_production
162,249,same_production
162,262,same_production
162,281,same_production
162,290,same_production
162,348,same_production
162,378,same_production
162,379,same_production
162,395,same_production
162,425,same_production
162,435,same_production
162,440,same_production
162,454,same_production
162,496,same_production
162,526,same_production
162,544,same_production
162,551,same_production
162,562,same_production
162,596,same_production
162,597,same_production
162,602,same_production
162,642,same_production
162,651,same_production
162,655,same_production
162,679,same_production
162,705,same_production
162,759,same_production
162,768,same_production
162,771,same_production
162,772,same_production
162,788,same_production
162,794,same_production
162,806,same_production
162,824,same_production
162,828,same_production
162,846,same_production
162,869,same_production
162,871,same_production
162,950,same_production
162,990,same_production
163,155,same_production
163,161,same_production
163,182,same_production
163,185,same_production
163,203,same_production
163,227,same_production
163,231,same_production
163,241,same_production
163,268,same_production
163,272,same_production
163,289,same_production
163,296,same_production
163,298,same_production
163,299,same_production
163,301,same_production
163,311,same_production
163,314,same_production
163,320,same_production
163,322,same_production
163,345,same_production
163,364,same_production
163,396,same_production
163,403,same_production
163,414,same_production
163,415,same_production
163,466,same_production
163,475,same_production
163,497,same_production
163,521,same_production
163,526,same_production
163,534,same_production
163,561,same_production
163,600,same_production
163,603,same_production
163,604,same_production
163,605,same_production
163,616,same_production
163,619,same_production
163,636,same_production
163,644,same_production
163,652,same_production
163,664,same_production
163,671,same_production
163,672,same_production
163,673,same_production
163,674,same_production
163,675,same_production
163,686,same_production
163,688,same_production
163,694,same_production
163,702,same_production
163,752,same_production
163,767,same_production
163,795,same_production
163,819,same_production
163,820,same_production
163,845,same_production
163,859,same_production
163,873,same_production
163,903,same_production
163,910,same_production
163,927,same_production
163,928,same_production
163,939,same_production
163,941,same_production
163,942,same_production
163,943,same_production
163,944,same_production
163,949,same_production
163,963,same_production
163,968,same_production
163,984,same_production
164,117,same_production
164,150,same_production
164,152,same_production
164,154,same_production
164,157,same_production
164,168,same_production
164,172,same_production
164,174,same_production
164,193,same_production
164,199,same_production
164,200,same_production
164,201,same_production
164,217,same_production
164,238,same_production
164,240,same_production
164,242,same_production
164,251,same_production
164,306,same_production
164,335,same_production
164,381,same_production
164,426,same_production
164,479,same_production
164,535,same_production
164,567,same_production
164,574,same_production
164,590,same_production
164,592,same_production
164,597,same_production
164,599,same_production
164,621,same_production
164,744,same_production
164,754,same_production
164,804,same_production
164,813,same_production
164,829,same_production
164,848,same_production
164,853,same_production
164,857,same_production
164,867,same_production
164,954,same_production
164,955,same_production
164,956,same_production
164,996,same_production
165,105,same_production
165,111,same_production
165,134,same_production
165,143,same_production
165,179,same_production
165,180,same_production
165,183,same_production
165,196,same_production
165,229,same_production
165,232,same_production
165,245,same_production
165,254,same_production
165,281,same_production
165,297,same_production
165,310,same_production
165,329,same_production
165,330,same_production
165,331,same_production
165,388,same_production
165,424,same_production
165,453,same_production
165,506,same_production
165,508,same_production
165,509,same_production
165,524,same_production
165,525,same_production
165,564,same_production
165,568,same_production
165,573,same_production
165,578,same_production
165,579,same_production
165,580,same_production
165,584,same_production
165,594,same_production
165,601,same_production
165,606,same_production
165,607,same_production
165,608,same_production
165,612,same_production
165,644,same_production
165,664,same_production
165,688,same_production
165,693,same_production
165,766,same_production
165,814,same_production
165,831,same_production
165,837,same_production
165,838,same_production
165,856,same_production
165,857,same_production
165,873,same_production
165,879,same_production
165,888,same_production
165,889,same_production
165,921,same_production
165,924,same_production
165,925,same_production
165,927,same_production
165,928,same_production
165,951,same_production
167,106,same_production
167,169,same_production
167,296,same_production
167,467,same_production
167,534,same_production
167,825,same_production
168,117,same_production
168,150,same_production
168,152,same_production
168,154,same_production
168,157,same_production
168,164,same_production
168,172,same_production
168,174,same_production
168,193,same_production
168,199,same_production
168,200,same_production
168,201,same_production
168,217,same_production
168,238,same_production
168,240,same_production
168,242,same_production
168,251,same_production
168,306,same_production
168,335,same_production
168,381,same_production
168,426,same_production
168,479,same_production
168,535,same_production
168,567,same_production
168,574,same_production
